City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vostok,46.4856,135.8833,56.28,20,5,9.13,RU,2021-04-30 01:41:12
dunedin,-45.8742,170.5036,53.01,68,9,14.0,NZ,2021-04-30 01:37:45
avera,33.194,-82.5271,71.6,78,1,5.75,US,2021-04-30 01:41:13
neka,36.6508,53.299,62.6,88,90,6.91,IR,2021-04-30 01:41:13
zaozerne,45.1582,33.2787,57.42,77,81,3.6,UA,2021-04-30 01:41:13
zhanaozen,43.3,52.8,67.6,31,100,17.52,KZ,2021-04-30 01:41:14
broken hill,-31.95,141.4333,78.8,24,0,13.8,AU,2021-04-30 01:41:14
kemijarvi,66.7131,27.4306,28.22,71,93,9.89,FI,2021-04-30 01:41:15
ipora,-16.4419,-51.1178,63.91,46,100,4.88,BR,2021-04-30 01:41:15
chokurdakh,70.6333,147.9167,17.58,87,8,6.02,RU,2021-04-30 01:41:16
tasiilaq,65.6145,-37.6368,26.6,93,67,3.44,GL,2021-04-30 01:41:16
los llanos de aridane,28.6585,-17.9182,64.4,68,20,2.3,ES,2021-04-30 01:41:16
hitoyoshi,32.2167,130.75,71.6,64,75,13.8,JP,2021-04-30 01:41:17
korla,41.7597,86.1469,86.16,7,0,10.74,CN,2021-04-30 01:39:10
miyoshi,35.0833,137.0667,75.99,40,20,12.66,JP,2021-04-30 01:41:17
inhambane,-23.865,35.3833,79.95,58,0,5.79,MZ,2021-04-30 01:41:17
vardo,70.3705,31.1107,28.4,86,40,24.16,NO,2021-04-30 01:41:18
tuatapere,-46.1333,167.6833,50.0,79,100,4.0,NZ,2021-04-30 01:41:18
dhidhdhoo,6.8833,73.1,84.07,72,88,5.57,MV,2021-04-30 01:41:19
soyo,-6.1349,12.3689,80.6,89,75,3.44,AO,2021-04-30 01:41:19
kloulklubed,7.0419,134.2556,84.2,74,90,8.05,PW,2021-04-30 01:41:19
pacific grove,36.6177,-121.9166,53.6,76,1,5.44,US,2021-04-30 01:38:06
labrea,-7.2586,-64.7981,72.03,98,100,2.64,BR,2021-04-30 01:41:20
richards bay,-28.783,32.0377,68.02,87,100,12.66,ZA,2021-04-30 01:41:20
moranbah,-22.0016,148.0466,72.45,61,93,12.84,AU,2021-04-30 01:41:21
fort nelson,58.8053,-122.7002,35.6,87,75,2.3,CA,2021-04-30 01:41:21
kruisfontein,-34.0033,24.7314,57.99,95,37,10.45,ZA,2021-04-30 01:41:21
ewa beach,21.3156,-158.0072,75.2,64,20,9.22,US,2021-04-30 01:41:22
setermoen,68.861,18.3486,26.6,86,40,12.66,NO,2021-04-30 01:41:22
hovd,48.0056,91.6419,75.87,13,54,10.56,MN,2021-04-30 01:41:22
georgetown,5.4112,100.3354,89.6,62,20,6.91,MY,2021-04-30 01:41:23
sobolevo,54.4299,31.8996,48.72,89,100,16.06,RU,2021-04-30 01:41:23
luba,3.4568,8.5547,78.8,89,20,5.17,GQ,2021-04-30 01:41:24
grindavik,63.8424,-22.4338,39.2,93,75,2.3,IS,2021-04-30 01:41:24
ahipara,-35.1667,173.1667,59.04,85,15,7.29,NZ,2021-04-30 01:39:39
kalmunai,7.4167,81.8167,87.98,61,36,7.49,LK,2021-04-30 01:41:24
klaksvik,62.2266,-6.589,37.4,70,75,4.61,FO,2021-04-30 01:41:25
kaseda,31.4167,130.3167,69.8,64,75,13.8,JP,2021-04-30 01:41:25
rio grande,-32.035,-52.0986,59.58,84,0,5.7,BR,2021-04-30 01:41:25
moerai,-22.4333,-151.3333,78.98,79,85,14.92,PF,2021-04-30 01:41:26
diffa,13.3154,12.6113,88.11,13,8,10.38,NE,2021-04-30 01:41:26
hambantota,6.1241,81.1185,89.6,70,40,2.3,LK,2021-04-30 01:36:42
manbij,36.5281,37.9549,77.0,36,75,4.61,SY,2021-04-30 01:37:03
bubaque,11.2833,-15.8333,77.86,63,69,9.78,GW,2021-04-30 01:41:27
lodja,-3.4833,23.4333,73.33,95,100,2.01,CD,2021-04-30 01:41:27
lubao,14.9167,120.55,95.0,46,75,4.61,PH,2021-04-30 01:41:28
arbuzynka,47.9097,31.3196,59.11,64,21,11.07,UA,2021-04-30 01:41:28
praia,14.9215,-23.5087,69.8,78,20,11.5,CV,2021-04-30 01:37:06
najran,17.4924,44.1277,78.8,50,75,2.3,SA,2021-04-30 01:41:29
ixtapa,20.7,-105.2,71.91,91,68,1.63,MX,2021-04-30 01:41:29
sibu,2.3,111.8167,89.6,62,40,4.61,MY,2021-04-30 01:41:29
ketchikan,55.3422,-131.6461,46.4,93,90,4.09,US,2021-04-30 01:41:30
shingu,33.7333,135.9833,68.0,68,20,10.36,JP,2021-04-30 01:41:30
port hardy,50.6996,-127.4199,50.0,100,90,3.44,CA,2021-04-30 01:41:30
presidente medici,-11.1753,-61.9014,65.86,87,98,4.16,BR,2021-04-30 01:41:31
namatanai,-3.6667,152.4333,83.08,71,99,4.34,PG,2021-04-30 01:41:31
cayenne,4.9333,-52.3333,75.99,94,75,3.94,GF,2021-04-30 01:41:32
mandurah,-32.55,115.7,68.0,52,9,1.99,AU,2021-04-30 01:41:32
sinnamary,5.3833,-52.95,76.68,87,100,6.38,GF,2021-04-30 01:41:32
evensk,61.95,159.2333,32.9,93,79,3.06,RU,2021-04-30 01:41:04
abu samrah,35.3029,37.1841,83.23,19,27,8.41,SY,2021-04-30 01:41:33
hami,42.8,93.45,88.14,7,0,11.9,CN,2021-04-30 01:41:33
necochea,-38.5473,-58.7368,55.0,81,0,5.01,AR,2021-04-30 01:41:34
tessalit,20.1986,1.0114,91.09,9,4,9.71,ML,2021-04-30 01:41:34
senneterre,48.3835,-77.2328,50.0,53,90,8.05,CA,2021-04-30 01:41:34
la motte-servolex,45.5942,5.8758,51.8,100,75,0.29,FR,2021-04-30 01:41:35
quang ngai,15.1167,108.8,88.75,55,25,11.86,VN,2021-04-30 01:38:56
buala,-8.145,159.5921,81.1,80,89,5.61,SB,2021-04-30 01:41:35
bowen,-20.0167,148.2333,73.4,78,90,17.27,AU,2021-04-30 01:41:36
semnan,35.5729,53.3971,75.43,15,0,2.95,IR,2021-04-30 01:41:36
egvekinot,66.3167,-179.1667,19.76,89,100,0.47,RU,2021-04-30 01:41:36
safaga,26.7292,33.9365,86.0,14,0,8.05,EG,2021-04-30 01:41:37
tautira,-17.7333,-149.15,80.6,74,40,3.44,PF,2021-04-30 01:41:37
margate,51.3813,1.3862,45.0,82,33,1.99,GB,2021-04-30 01:41:38
noumea,-22.2763,166.4572,75.2,57,0,12.66,NC,2021-04-30 01:38:12
lashio,22.9333,97.75,95.29,24,53,3.96,MM,2021-04-30 01:41:38
tirumullaivasal,11.2333,79.8333,92.7,54,40,15.55,IN,2021-04-30 01:41:38
chateau-gontier,47.8333,-0.7,48.0,76,0,9.22,FR,2021-04-30 01:41:39
beringovskiy,63.05,179.3167,22.8,89,8,5.68,RU,2021-04-30 01:41:39
manta,-0.95,-80.7333,75.2,88,75,3.44,EC,2021-04-30 01:40:07
katsuura,35.1333,140.3,75.0,56,20,27.63,JP,2021-04-30 01:41:40
lasa,46.6166,10.7002,54.0,93,90,2.3,IT,2021-04-30 01:41:40
yerbogachen,61.2767,108.0108,40.28,59,100,5.95,RU,2021-04-30 01:41:41
haapiti,-17.5667,-149.8667,80.6,74,40,3.44,PF,2021-04-30 01:41:41
awjilah,29.1081,21.2869,89.26,12,17,11.14,LY,2021-04-30 01:41:41
kavieng,-2.5744,150.7967,84.06,71,65,8.05,PG,2021-04-30 01:41:42
junin,-34.5838,-60.9433,52.0,47,0,7.9,AR,2021-04-30 01:41:42
nathdwara,24.9333,73.8167,98.6,16,40,4.61,IN,2021-04-30 01:41:42
boves,44.332,7.5514,53.01,87,75,0.96,IT,2021-04-30 01:41:43
wad madani,14.4012,33.5199,94.23,28,58,7.18,SD,2021-04-30 01:41:43
brae,60.3964,-1.353,41.0,81,20,9.22,GB,2021-04-30 01:41:44
torbay,47.6666,-52.7314,34.0,100,20,10.36,CA,2021-04-30 01:41:44
neepawa,50.2289,-99.4664,30.99,59,20,4.61,CA,2021-04-30 01:41:45
colomi,-17.35,-65.8667,57.2,62,40,3.44,BO,2021-04-30 01:41:45
dravograd,46.5881,15.0192,57.99,89,99,1.01,SI,2021-04-30 01:41:46
sao joao da barra,-21.6403,-41.0511,66.29,87,93,12.57,BR,2021-04-30 01:41:46
chumikan,54.7183,135.315,32.47,83,100,8.81,RU,2021-04-30 01:41:47
mount gambier,-37.8333,140.7667,77.0,29,0,10.36,AU,2021-04-30 01:38:49
oranjestad,12.524,-70.027,79.0,83,100,3.0,AW,2021-04-30 01:41:47
tarabuco,-19.1667,-64.9167,38.43,85,0,4.25,BO,2021-04-30 01:41:47
lavrentiya,65.5833,-171.0,18.77,88,21,5.66,RU,2021-04-30 01:41:48
oster,50.9506,30.8823,57.2,58,0,13.42,UA,2021-04-30 01:41:48
swan river,52.1058,-101.2676,32.0,43,8,4.61,CA,2021-04-30 01:41:49
mushie,-3.0167,16.9,76.24,90,100,0.45,CD,2021-04-30 01:41:49
palmer,42.1584,-72.3287,52.0,100,90,5.75,US,2021-04-30 01:41:49
rocha,-34.4833,-54.3333,51.4,90,0,5.53,UY,2021-04-30 01:41:50
rolla,37.9514,-91.7713,50.0,81,1,6.91,US,2021-04-30 01:41:50
maumere,-8.6199,122.2111,83.95,71,100,1.97,ID,2021-04-30 01:41:51
orebro,59.2741,15.2066,42.8,65,0,5.75,SE,2021-04-30 01:41:51
tatawin,32.9297,10.4518,78.8,17,40,6.91,TN,2021-04-30 01:41:51
doha,25.2867,51.5333,95.0,18,0,10.36,QA,2021-04-30 01:41:52
tevaitoa,-16.7833,-151.5,81.12,72,88,2.17,PF,2021-04-30 01:41:52
marawi,7.9986,124.2928,84.99,80,100,5.99,PH,2021-04-30 01:41:52
port lincoln,-34.7333,135.8667,72.23,43,100,8.14,AU,2021-04-30 01:41:53
saint-pierre,-21.3393,55.4781,82.4,69,0,23.02,RE,2021-04-30 01:41:53
methoni,36.8197,21.7049,69.8,64,0,9.1,GR,2021-04-30 01:41:53
tortoli,39.9256,9.6572,62.6,88,0,6.91,IT,2021-04-30 01:41:54
catuday,16.2923,119.8062,82.38,67,87,12.57,PH,2021-04-30 01:41:54
moose factory,51.2585,-80.6094,32.0,93,90,17.27,CA,2021-04-30 01:41:55
sterling,39.0062,-77.4286,66.2,72,40,13.8,US,2021-04-30 01:37:20
mangrol,21.1167,70.1167,88.92,51,100,9.35,IN,2021-04-30 01:41:55
mao,39.8885,4.2658,59.0,100,20,4.61,ES,2021-04-30 01:41:55
bara,10.3744,10.7288,85.89,51,58,7.76,NG,2021-04-30 01:41:56
tenango,18.65,-98.1833,69.35,70,100,9.53,MX,2021-04-30 01:41:56
luang prabang,19.8856,102.1347,87.8,58,75,2.3,LA,2021-04-30 01:41:57
hauterive,46.0901,3.4459,46.4,87,90,3.44,FR,2021-04-30 01:41:57
cairns,-16.9167,145.7667,80.6,61,4,16.11,AU,2021-04-30 01:41:57
san juan,-31.5375,-68.5364,63.01,52,0,6.2,AR,2021-04-30 01:41:58
itarema,-2.9248,-39.9167,75.24,89,100,6.42,BR,2021-04-30 01:41:58
namibe,-15.1961,12.1522,76.42,69,88,1.21,AO,2021-04-30 01:41:59
inta,66.0317,60.1659,29.14,59,76,1.97,RU,2021-04-30 01:41:59
moa,20.6569,-74.9403,77.04,77,89,12.75,CU,2021-04-30 01:41:59
qaqortoq,60.7167,-46.0333,37.4,81,75,5.99,GL,2021-04-30 01:42:00
chapada dos guimaraes,-15.4606,-55.7497,68.0,88,0,3.44,BR,2021-04-30 01:42:00
makakilo city,21.3469,-158.0858,75.2,64,20,9.22,US,2021-04-30 01:41:18
merauke,-8.4667,140.3333,82.36,75,46,11.88,ID,2021-04-30 01:42:01
balao,-2.9167,-79.8167,73.96,90,100,3.04,EC,2021-04-30 01:42:01
yarmouth,41.7057,-70.2286,57.0,94,40,11.5,US,2021-04-30 01:42:01
kiunga,-6.1219,141.2906,81.34,87,73,0.89,PG,2021-04-30 01:42:02
fairbanks,64.8378,-147.7164,35.6,93,90,14.97,US,2021-04-30 01:40:02
riverton,40.5219,-111.9391,55.99,50,1,4.61,US,2021-04-30 01:40:06
giffoni valle piana,40.7181,14.9424,75.0,64,63,1.99,IT,2021-04-30 01:42:03
andenes,69.3143,16.1194,30.2,69,75,13.8,NO,2021-04-30 01:42:03
port-gentil,-0.7193,8.7815,77.0,94,20,5.75,GA,2021-04-30 01:42:04
westport,41.1415,-73.3579,64.99,88,75,8.05,US,2021-04-30 01:37:38
springdale,36.1867,-94.1288,55.4,76,1,3.98,US,2021-04-30 01:42:04
chernogorsk,53.8236,91.2842,50.0,87,0,4.47,RU,2021-04-30 01:42:05
griffith,41.5284,-87.4237,50.0,76,1,3.44,US,2021-04-30 01:41:21
mbandaka,0.0487,18.2603,73.62,94,100,3.44,CD,2021-04-30 01:42:05
dakar,14.6937,-17.4441,68.0,88,0,19.57,SN,2021-04-30 01:42:06
pagudpud,18.5616,120.7868,86.0,58,20,10.36,PH,2021-04-30 01:42:06
sovetskaya gavan,48.9723,140.2878,35.37,90,100,13.89,RU,2021-04-30 01:42:07
ternate,0.8,127.4,85.01,67,99,4.76,ID,2021-04-30 01:42:07
san quintin,30.4833,-115.95,61.81,79,0,5.95,MX,2021-04-30 01:42:07
matcha,54.6335,42.3501,53.33,56,100,15.75,RU,2021-04-30 01:42:08
craig,40.5153,-107.5464,50.0,70,1,3.44,US,2021-04-30 01:42:08
usinsk,65.9939,57.5281,38.41,41,69,12.37,RU,2021-04-30 01:42:09
qena,26.1615,32.7183,84.2,18,0,2.3,EG,2021-04-30 01:42:09
sinop,41.7711,34.8709,51.8,93,75,2.3,TR,2021-04-30 01:42:09
camacha,33.0833,-16.3333,59.0,67,20,17.27,PT,2021-04-30 01:39:52
ambikapur,23.1167,83.2,105.22,5,60,5.73,IN,2021-04-30 01:42:10
kamphaeng phet,16.25,99.5,90.39,49,100,6.38,TH,2021-04-30 01:42:10
palana,59.1167,159.9667,30.16,96,88,7.67,RU,2021-04-30 01:42:11
ulladulla,-35.35,150.4667,68.0,73,0,10.36,AU,2021-04-30 01:42:11
tansen,27.8673,83.5467,89.94,13,92,7.11,NP,2021-04-30 01:42:11
naranjito,-2.2167,-79.4833,77.0,83,75,3.44,EC,2021-04-30 01:42:12
primorsk,46.7348,36.3443,59.04,77,0,11.23,UA,2021-04-30 01:42:12
sinegorskiy,48.0139,40.8447,55.45,82,98,15.1,RU,2021-04-30 01:42:13
kijang,35.2442,129.2139,73.4,20,0,11.5,KR,2021-04-30 01:42:13
tabas,33.5959,56.9244,85.17,25,100,7.05,IR,2021-04-30 01:42:13
puerto carreno,6.189,-67.4859,71.62,92,100,5.44,CO,2021-04-30 01:42:14
naze,28.3667,129.4833,78.8,61,0,10.36,JP,2021-04-30 01:42:14
nouadhibou,20.931,-17.0347,64.4,100,0,10.36,MR,2021-04-30 01:41:05
pingxiang,27.6167,113.85,85.68,36,47,8.23,CN,2021-04-30 01:42:15
ponta delgada,37.7333,-25.6667,55.4,82,75,5.75,PT,2021-04-30 01:42:15
pula,44.8683,13.8481,60.8,88,0,4.61,HR,2021-04-30 01:42:15
bismarck,46.8083,-100.7837,46.99,57,1,6.91,US,2021-04-30 01:41:49
montlucon,46.3333,2.6,46.0,97,100,2.33,FR,2021-04-30 01:42:16
benghazi,32.1167,20.0667,80.94,27,0,15.52,LY,2021-04-30 01:39:24
sonoita,31.85,-112.8333,72.0,25,0,3.31,MX,2021-04-30 01:42:17
gold coast,-28.0,153.4333,68.0,88,75,1.14,AU,2021-04-30 01:42:17
bafq,31.6128,55.4107,83.41,23,63,8.57,IR,2021-04-30 01:42:17
labuhan,-6.8844,112.2051,83.98,71,66,8.19,ID,2021-04-30 01:42:18
roela,59.1667,26.5926,42.37,50,100,8.43,EE,2021-04-30 01:42:18
poum,-20.2333,164.0167,77.94,55,98,17.45,NC,2021-04-30 01:42:18
muana,-1.5283,-49.2167,74.53,95,100,3.78,BR,2021-04-30 01:42:19
iskateley,67.6803,53.1512,32.88,87,100,13.29,RU,2021-04-30 01:42:19
sorland,67.667,12.6934,35.6,80,75,12.66,NO,2021-04-30 01:42:20
bonthe,7.5264,-12.505,80.64,78,90,4.18,SL,2021-04-30 01:42:20
banda aceh,5.5577,95.3222,84.07,69,100,5.01,ID,2021-04-30 01:42:20
kaihua,23.3687,104.28,78.31,52,100,9.89,CN,2021-04-30 01:42:21
maragogi,-9.0122,-35.2225,75.38,87,71,7.4,BR,2021-04-30 01:42:21
lewistown,40.5992,-77.5714,55.4,90,90,14.97,US,2021-04-30 01:42:21
fonte boa,-2.4959,-66.2662,71.06,99,99,1.19,BR,2021-04-30 01:42:22
roald,62.5833,6.1333,41.0,70,20,9.22,NO,2021-04-30 01:42:22
sangar,63.9242,127.4739,36.73,83,97,2.73,RU,2021-04-30 01:42:23
severodvinsk,64.5635,39.8302,33.8,86,75,4.47,RU,2021-04-30 01:42:23
nueva guinea,11.6876,-84.4562,70.12,96,2,2.53,NI,2021-04-30 01:42:23
mayo,38.8876,-76.5119,68.0,83,75,10.36,US,2021-04-30 01:42:24
novooleksiyivka,46.2269,34.6428,58.73,78,18,9.93,UA,2021-04-30 01:42:24
tucuma,-0.1833,-50.05,74.48,94,96,2.64,BR,2021-04-30 01:42:24
mount isa,-20.7333,139.5,86.0,25,40,12.66,AU,2021-04-30 01:42:25
kirakira,-10.4544,161.9205,79.99,83,9,10.09,SB,2021-04-30 01:42:25
visby,57.6409,18.296,43.0,49,0,17.27,SE,2021-04-30 01:42:25
adrar,20.5022,-10.0711,74.19,42,76,9.22,MR,2021-04-30 01:38:18
riyadh,24.6877,46.7219,89.6,13,0,8.05,SA,2021-04-30 01:39:48
palm beach gardens,26.8234,-80.1386,77.0,100,90,3.44,US,2021-04-30 01:38:15
antofagasta,-23.65,-70.4,59.0,88,0,3.44,CL,2021-04-30 01:42:26
tombouctou,20.0,-3.0,85.89,25,100,12.06,ML,2021-04-30 01:42:27
sabzevar,36.2126,57.6819,73.4,49,0,18.41,IR,2021-04-30 01:42:27
pangnirtung,66.1451,-65.7125,31.17,78,100,6.33,CA,2021-04-30 01:42:27
takoradi,4.8845,-1.7554,80.82,78,100,2.91,GH,2021-04-30 01:42:28
jalu,29.0331,21.5482,89.35,12,10,10.49,LY,2021-04-30 01:42:28
vanimo,-2.6741,141.3028,82.31,83,99,8.99,PG,2021-04-30 01:38:18
hals,56.9961,10.3081,45.0,70,90,6.91,DK,2021-04-30 01:42:28
disna,55.568,28.1971,50.63,91,100,13.56,BY,2021-04-30 01:42:29
grand-lahou,5.1367,-5.0242,79.57,85,100,4.18,CI,2021-04-30 01:42:29
baoding,38.8511,115.4903,64.72,23,83,10.54,CN,2021-04-30 01:42:30
ngunguru,-35.6167,174.5,60.01,79,21,1.01,NZ,2021-04-30 01:42:30
piacabucu,-10.4056,-36.4344,75.99,83,11,7.99,BR,2021-04-30 01:42:31
jiuquan,39.7432,98.5174,82.11,6,0,15.3,CN,2021-04-30 01:42:31
beira,-19.8436,34.8389,78.8,89,40,3.89,MZ,2021-04-30 01:42:31
blagoyevo,63.3667,47.9167,39.22,54,100,9.31,RU,2021-04-30 01:42:32
rundu,-17.9333,19.7667,73.13,48,86,0.38,NA,2021-04-30 01:42:32
voskresenskoye,56.8381,45.4317,51.48,56,95,11.27,RU,2021-04-30 01:42:32
ozernovskiy,51.5,156.5167,37.49,85,100,2.84,RU,2021-04-30 01:42:33
malumfashi,11.7853,7.6218,82.15,43,93,9.31,NG,2021-04-30 01:42:33
tabou,4.423,-7.3528,78.57,87,88,5.06,CI,2021-04-30 01:42:34
mitsamiouli,-11.3847,43.2844,82.6,71,7,1.41,KM,2021-04-30 01:42:34
woodstock,43.1334,-80.7497,48.2,93,45,4.61,CA,2021-04-30 01:42:34
dingle,10.9995,122.6711,90.75,45,7,8.52,PH,2021-04-30 01:42:35
colares,38.7992,-9.4469,57.0,81,100,3.0,PT,2021-04-30 01:42:35
bud,39.447,-86.1758,55.0,93,0,12.06,US,2021-04-30 01:42:35
panan,15.2134,120.0272,95.0,62,20,11.5,PH,2021-04-30 01:42:36
arcachon,44.5875,-1.0519,50.0,93,0,6.91,FR,2021-04-30 01:42:36
vilcun,-38.65,-72.2333,51.8,100,90,2.3,CL,2021-04-30 01:42:36
iacu,-12.7672,-40.2117,68.32,93,32,3.02,BR,2021-04-30 01:42:37
havre-saint-pierre,50.2334,-63.5986,41.0,87,90,9.22,CA,2021-04-30 01:42:37
gadag,15.4167,75.6167,84.2,51,0,4.61,IN,2021-04-30 01:40:08
entre rios,-11.9419,-38.0844,69.1,97,56,3.67,BR,2021-04-30 01:42:38
preston,53.7667,-2.7167,39.2,87,20,5.75,GB,2021-04-30 01:42:38
palu,-0.8917,119.8707,85.53,78,91,3.2,ID,2021-04-30 01:42:38
hofn,64.2539,-15.2082,40.51,61,12,5.88,IS,2021-04-30 01:42:39
pechenga,69.5259,31.1703,28.4,69,40,18.41,RU,2021-04-30 01:42:39
sur,22.5667,59.5289,91.6,39,100,0.31,OM,2021-04-30 01:40:52
pucallpa,-8.3791,-74.5539,66.67,91,16,2.19,PE,2021-04-30 01:42:40
san policarpo,12.1791,125.5072,82.72,69,10,7.58,PH,2021-04-30 01:39:48
kenai,60.5544,-151.2583,42.8,87,90,4.45,US,2021-04-30 01:42:41
